question,label
פחות שקל. מה מספר עולה לשכור אוטובוס?,1
"בהסתכלות על תמונה, היא מכילה מסגרת שרוחבה קבוע סביב התמונה כולה. מידות התמונה עם המסגרת הן 15 ס""מ ו-32 ס""מ. שטח התמונה ללא המסגרת קטן ב-132 סמ""ר. מצא את רוחב מסגרת התמונה",1
רַעַל.,1
"חשב את מרחק הבלימה המתאים למכונית שנוסעת במהירות של 70 קמ""ש. א",1
"ניתנת תמונה של הציור ומסגרת ברוחב קבוע סביב הציור כולו. מידות התמונה (עם המסגרת) הן 15 ס""מ ו-32 ס""מ, ושטח הציור הוא 132 ס""מ רבוע. מצא את רוחב מסגרת התמונה",1
"א. שרטטו מלבן ורשמו ליד צלעותיו של המלבן המתואר בעזרת a את אורכי צלעותיו. ממלבן זה בנו מלבן חדש שאורך הצלע הארוכה שלו קטנה ב 4- ס""מ מהצלע הארוכה במלבן המקורי ואורך הצלע הקצרה בו ארוכה ב 2- ס""מ מאורך הצלע הקצרה במלבן המקורי. ב . שרטטו מלבן נוסף ורשמו ליד צלעותיו את אורכי הצלעות לאחר השינויים. ג. הביעו באמצעות a את אורך היקף המלבן החדש ואת שטחו. נתון שטח המלבן החדש הוא 153 סמ""ר ד. מצאו את אורך הצלעות של המלבן המקורי.",1
"יאיר תכנן לעבור מרחק מסויים במהירות של 6 קמ""ש, לעומתו תכנן גל לעבור מרחק הגדול פי שתיים במהירות של 4 ק""מ, ידוע שהזמן שלקח ליאיר לסיים את הדרך שתכנן קטן ב- 200 דקות מהזמן שלקח לגל לסיים את המרחק שתכנן לעבור. מצאו את סכום המרחקים שעברו יאיר וגל.",1
"האיצו שני אלקטרונים במאיץ חלקיקים, אחד בחצי ממהירות האור ואת השני ברבע ממהירות האור, ידוע שהחלקיק שנע יותר מהר עובר מרחק הגדול פי 6 מהמרחק שעובר החלקיק האיטי יותר בזמן הקצר ב- 1/1500 שניות. מצאו את המרחק שעבר החלקיק האיטי יותר. (מהירות האור היא 300,000 קילומטר לשניה).",1
"שרה בת 28. בתה, שר, בת 4. בעוד כמה שנים גילה של ירדן יהיה פי 4 מזה של שר?",0
למד על הסטטיסטיקה של מסי ורונאלדו בליגה הספרדית ובליגת האלופות העונה,0
מה המהירויות של מכוניות?,1
בחידון יש שני חלקים. על כל תשובה נכונה בחלק א מקבלים 9 נקודות. על כל תשובה נכונה בחלק ב מקבלים 12 נקודות. בחידון 15 שאלות וניתן לצבור 153 נקודות. כמה שאלות בכל חלק בבחינה ?,0
"- קמ""ש ממהירותו של יובל. מצאו כמה זמן נמשכה הריצה של כל אחד?",1
יואב הולך לבית הספר במרחק קילומטר אחד,1
"המרחק בין ירושלים לתל אביב הוא 50 ק""מ. א. באיזה מהירות יש לנסוע על מנת להגיע מתל אביב לירושלים בשעה? ב. באיזה מהירות יש לנסוע על מנת להגיע בחצי שעה מת""א לירושלים? ג. אם נסעתי במהירות 80 קמ""ש מירושלים לתל אביב, מה כמות זמן יקח לי?",0
"נתון ריבוע שצלעו 4 − �� בנו מלבן חדש, שאורכו גדול ב 9- ס""מ מאורך צלע הריבוע ורוחבו גדול ב 3- ס""מ מאורך צלע הריבוע הנתון. נתון ששטח הריבוע קטן ב 171- סמ""ר משטח המלבן מצאו את ערכו של x",1
"יוסף רוצה להשקיע בבנק 10,000 שקלים למשך שנה. הוא החליט לחלק את השקעתו לשתי תכניות חסכון. בתכנית הראשונה מקבלים 4% רווח. בתכנית השנייה מקבלים 5% רווח. כמה השקיע יוסף בכל תכנית, אם בסוף השנה הוא קיבל רווח בגובה 440 שקלים?",1
"מחיר הדלק התייקר פעמיים ב ,6% מחירו לפני ההתייקרו ת היה 4 שקלים א. מצאו בכמה התייקר מחיר הדלק ב. מהו מחירו הנוכחי",0
"192 משחקי מחשב ארוזים ב-4 סטים גדולים, 6 סטים קטנים ו-3 סטים קטנים. החבילה הגדולה מכילה 20% יותר משחקי מחשב מהצרור הבינוני, והחבילה הקטנה מכילה 2/3 מכמות המשחקים בחבילה הבינונית. מה כמות משחקי מחשב יש בחבילה הממוצעת? 4",0
מצאו את המספר הנתון נקבל ערך הגדול ב3- מהמספר 1,0
בעיות עם גרף גרף א' גרף ב' משכורת מקורית משכורת מקורית גרף ג' גרף ד' משכורת מקורית משכורת מקורית,1
"היקף מלבן הוא 100 ס""מ. צלע אחת במלבן היא 20% מהיקפו. בכמה ס""מ יש לקצר את הצלע כדי שאורכה יהיה 10% מההיקף המקוצר?",0
"השוער הבחין בכדור כאשר היה במרחק של 25 מטר מהשער, הסבר מדוע הצליח השוער להדוף את הכדור? ב . באיזה מהירות נע הכדור? ג. ע""פ הגרף, רשום את תבנית הפונקציה המתארת את תנועת הכדור. ד. באיזה מהירות היה על השחקן לבעוט לשער על מנת לא להשאיר לשוער סיכוי? בהינתן שהבחין מיד בשחקן הבועט. הכדור נהדף וחזר לשחק היריבה ידוע שהמהירות שנע הכדור לאחר ההדיפה הייתה קטנה יותר. ה. איזה משני הקווים המקווקוים מתאר את מהלך הכדור לאחר ההדיפה ?",1
"רכבת עוברת בכל יום מרחק של 200 ק""מ במהירות קבועה. באחד הימים הגדילה את מהירותה ב- 20 קמ""ש ובאותו היום עברה את המרחק בחצי שעה פחות מהזמן ביום רגיל. מצאו את מהירותה של הרכבת ביום רגיל.",1
"בקופסה א יש פי שלוש עוגיות מקופסה ב אם נעביר 8 עוגיות מקופסה א' לקופסה ב' יהיה מספר העוגיות זהה בשתי הקופסאות, כמה עוגיות יש בכל קופסא?",0
"שתי מכוניות יצאו בו-זמנית זו לקראת זו משתי ערים המרוחקות זו מזו 320 ק""מ. מהירותה של מכונית אחת גדולה ב- 10 קמ""ש ממהירותה של המכונית האחרת. כעבור שעתיים הן עדיין לא נפגשו והמרחק ביניהן היה 20 ק""מ. (א) חשבו את המהירות של כל אחת מהמכוניות. (ב) איזו דרך עברה כל מכונית במשך שעתיים ? (ג) בכמה זמן עוברת המכונית המהירה יותר את כל המסלול ?",0
בתחילת השנה היו בכיתה 26 תלמידים. במהלך השנה נוספו 13 תלמידים לכיתה. א. בכמה אחוזים גדל מספר תלמידי הכיתה לאחר שנוספו כל התלמידים שנה לאחר מכן עזבו 13 תלמידים את הכיתה ב. מה אחוז התלמידים שעזבו את הכיתה,0
"רום ועידו עבדו בקיץ כמדריכים בקייטנת כדורסל. יודע הרוויחו ביחד 2,800 ₪ (משכורתם לא בהכרח שווה). עידו בזבז 20% ממשכורת ו בעוד שרום הצליח להרוויח בעבודה נוספת 32% אחוז ממה שהרוויח ממה שהרוויח בקייטנה. ידוע שבסוף הקיץ היה להם ביחד 2,890 ₪ ביחד. כמה הרוויח עידו בקייטנה?",0
"נתון ריבוע שצלעו 4 − �� בנו מלבן חדש, שאורכו גדול ב 9- ס""מ מאורך צלע הריבוע ורוחבו גדול ב 3- ס""מ מאורך צלע הריבוע הנתון. נתון ששטח הריבוע קטן ב 171- סמ""ר משטח המלבן מצאו את ערכו של x",1
כשבנו של מוחמד נולד היה מוחמד בן 35 כיום מוחמד גדול ב4- מגיל בנו. בן מה מספר בנו של מוחמד היום?,0
"ממלבן א' ששטחו 90 סמ""ר יצרו 2 מלבנים חדשים. ממדי מלבן ב - האריכו את הצלע הקצרה של מלבן א' פי 2 ואת הצלע השנייה ב 3- סמ""ר. ממדי מלבן ג - קצרו פי 2 צלע הקצרה של מלבן א' והאריכו את השנייה ב 5- ס""מ. ידוע ששטח מלבן ג' קטן ב 156- סמ""ר משטח מלבן ב'. מצאו את ממדיו של מלבן א'.",1
"הרחיב את צלע הריבוע בכמות, ותקבל מלבן. היקף המלבן המתקבל גדול פי 8 מהיקף הריבוע. מה אורך הצלע של הריבוע?",0
"נתון משולש, שצלעו האחת גדולה מהשני יה ב - 250% וקטנה מהשלישית ב",1
"אורי צריך להשלים מסלול של 140 ק""מ, ולאחר שעבר 20 ק""מ הוא שם לב שעליו להגיע ליעד תוך שעה וחצי. מה כמות מהר אורי צריך לנסוע כדי להגיע בזמן לפגישתו?",0
מחיר של תפוח היה 2 שקלים ומחיר של אגס 3 שקלים. עידו קנה 12 תפוחים ואגסים ושילם 31 שקלים כמה תפוחים קנה עידו? 100,0
מה המהירויות של מכוניות?,1
"אם מדובר בריבוע במידות של 13 ס""מ, צבעו שני ריבועים של המלבן ששטחם הכולל הוא 97 ס""מ2. מצא את מידות הריבועים המצוירים.",1
"בקופסה א' יש 30% עוגיות יותר מקופסה ב'. ידוע ליה אכל 5 עוגיות מקופסה א' ויואב אכל 14% מהעוגיות שהיו בקופסה ב'. לאחר שאכלו היו בקופסה א' , 17 עוגיות יותר מאשר בקופסה ב'. מה כמות עוגיות אכל מוחמד?",0
"נתון ריבוע, הגדילו 2 צלעות נגדיות שלו ב3- ס""מ ואת 2 הצלעות הנגדיות האחרות הגדילו ב20%- כך שהתקבל מלבן שהיקפו גדול ב8",0
מה הם המספרים הנתונים?,0
"מספר התלמידים בחדר ב' גדול ב-8 ממספר התלמידים בחדר א'. אם 4 תלמידים יעברו מחדר א' לחדר ב', מספר התלמידים בחדר ב' יהיה גדול פי 3 מאשר בחדר א'. כמה תלמידים יש בכל חדר?",0
כיום גיל האב 38 וגיל הבת 5 שנים. בעוד כמה שנים גיל האב יהיה פי 3 מגיל הבת?,0
"בהתחשב בכך שהם קיצרו את כל צלעותיו של מלבן 48 ס""מ בנפח קבוע וקיבלו מלבן קטן יותר בשטח של 33 ס""מ והיקף קטן יותר של 16 ס""מ, בכמה הם קיצרו כל צד?",1
"נתון מלבן ששטחו 40 סמ""ר, ממלבן זה יצרו מלבן חדש, אורך צלע אחת הקטינו ב1- ס""מ ואת הצלע השנייה הקטינו ב2- ס""מ. והתקבל מלבן שהיקפו 22 ס""מ מצאו את צלעות המלבן המקורי",1
אם נחלק מספר נתון ב11- ומהתוצאה שתתקבל נוריד 2 נקבל,0
"%- מצאו את את צלעות המשולש, אם נתון שהיקפו הוא 33",1
"סוחר קנה 12 מוצרים משני סוגים. סוג 1 מהמוצרים מכר בעלות של 18 שקלים ואת המוצרים מסוג השני בעלות של 14 שקלים למוצר. סה""כ מכר הסוחר את כל המוצרים ב196- שקלים. מה כמות מוצרים שיווק מכל סוג ?",0
"הגרף הבא מתאר את השינוי בשטחה של גינה מלבנית שהיקפה 24 מטר כפונקציה של שינוי של אורך אחת הצלעות שלו. א. סמנו את אורך אחד ממדי הגינה ב -x ורשמו את תבנית לגרף הפונקציה. ב . מה השטח הגדול ביותר שהגינה יכולה לקבל. ג. מצאו את הנקודות שבקצוות ע""פ הגרף. ורשמו מה ניתן להגיד על ממדי הגינה ד. מה האורך והרוחב של הגינה כאשר יודע ששטחה 20 מ""ר 14",1
בעיות עם גרף גרף א' גרף ב' משכורת מקורית משכורת מקורית גרף ג' גרף ד' משכורת מקורית משכורת מקורית,1
מהו המספר הנתון?,0
"ענה על הסעיפים הבאים א. אם היקף המלבן הוא 24 ס""מ ואורך הצלע האחת 5 ס""מ, מה אורכה של הצלע השנייה? אם זה מלבן עם היקף של 24 ס""מ ולצד אחד יש אורך של x ס""מ, כתוב את אורך הצלע השנייה",1
"במכירת הספרים הוצעה הנחה של 20% על מחירי כל הספרים. א. לאחר ההנחה, מחירו של ספר מסוים היה 72 שקלים. מה היה המחיר שלו לאחר ההנחה? עליי. בתום המבצע חזרו מחירי הספרים למחיריהם המקוריים לפני ההנחה. מהי אחוז העלייה במחירי הספרים בתום המכירה לעומת המחירים שהיו בזמן המכירה? 8 בעיות מספריות",0
"נתון מלבן שאורכו גדול ב 4- ס''מ מרוחבו. הִגדילו את אורכו ב 3- ס ""מ ואת רוחבו הִקטינו ב - ,10% כך שהתקבל מלבן בעל שטח הגדול ב - 12 סמ""ר מהמלבן המקורי. א. מצאו את אורך צלעות המלבן המקורי )צלע אחת של המלבן קטנה מ15- ס""מ(. ב . מהו היחס בין שטח המלבן הגדול לשטח המלבן הקטן",1
"יהודה בעט כדור במהירות 90 קמ""ש, יהודה בעט מאותו המרחק כדור במהירות 100 קמ""ש, נתון כי שהכדור של יהודה הגיע 1/60 שניות לפני הכדור של יהודה. מה היה המרחק ממנו בעטו יהודה וליאור?",0
"ממספר הפיצות האישיות .תלמידי שכבה י""א שילמו על הפיצות 6",1
"שטחו של משולש 20 סמ""ר. אם נגדיל צלע של המשולש פי 1",1
"גובה התיבה הוא 30 ס""מ. מקצועות הבסיס הם 6 ס""מ ו- 10 ס""מ. חשבו את הנפח של תיבה.",1
"נתון מחירון של חנות בארץ והמחירון של אותם פריטים באתר האינטרנט. בחנות בארץ העלות - בשקלים, באינטרנט העלות – בדולרים (1 דולר – 3",1
"תמר קנתה 3 ק""ג מלפפונים ו0",0
שולפים מהמעטפה פתק אחד באקראי. מה ההסתברות שעל הפתק יהיה רשום מספר זוגי?,1
"המרחק בין עכו לאילת הוא 600 ק""מ. אוטובוס יצא מעכו לכיוון אילת, וכעבור שעה יצאה מכונית מאילת לכיוון עכו. מהירות המכונית גדולה ב-10 קמ""ש ממהירות האוטובוס. שתי המכוניות נפגשו באמצע הכביש. מצא את מהירות האוטובוס.",1
ס''מ.,1
"מלבן שאורכו גדול פי שלושה מאורך הצלע השנייה. אם נגדיל את אורך הצלע הארוכה ב-2 ס""מ ונקצר את אורך הצלע הקצרה ב-2 ס""מ, נקבל מלבן ששטחו קטן פי כמה",1
32 ספרים על המדף,1
"אם נגדיל צלע אחת של מלבן ב2- ס""מ ונקטין צלע סמוכה לה ב3- ס""מ, נקבל ריבוע שהיקפו 20 ס""מ. מהן מידות המלבן? מהו שטח המלבן? מהו שטח הריבוע שנוצר?",0
"ענו על הסעיפים הבאים א. יוסי נסע 150 ק""מ במהירות קבועה של 60 קמ""ש. כמה זמן נסע יוסי? ב. דורון נסע 4 שעות במהירות של 80 קמ""ש, מה המרחק שעבר? ג. בן נסע במהירות 30 קמ""ש במשך 40 דקות, מה המרחק שעבר?",0
גיל האב הוא פי 3 מגיל בנו .בעוד 12 שנים יהיה גיל האב רק פי 2 מגיל בנו . בני כמה האב והבן היום ?,0
"בהינתן שני מספרים שסכומם הוא 432, אם נחסר את המספר הגדול מהמספר הקטן נקבל",0
מצאו את שני המספרים,0
על מגרש בגודל של 60 מטר על 120 מטר רצו להקים מגרש כדורגל בצורת מלבנית ומסלול ברוחב x משני צידי המגרש. שטח המגרש הוא 25/33 ממשטח ההחלקה. מצא את רוחב השביל,1
"סכום אורכי נציביו של משולש ישר זווית הוא 21 ס ""מ ושטחו 54 ס ""מ, מצאו את אורך כל הניצבים של המשולש.",1
"אם יש לנו משולש ישר זווית שאורכו העודף הוא 610√ ס""מ. אם אורכו של מאונך אחד של המשולש הוא 1 ס""מ ואורך הצלע השניה הוא 2 - 5 ס""מ, מצא את שטח המשולש.",1
אם נחסיר מ30- מספר נתון ואת התוצאה נחלק ב- 2 הנתון. מצאו את המספר הנתון,0
2 מכוניות יצאו בו זמנית מעיר A לעיר B אחת נסעה במהירות הגדולה פי 1,1
מאיה קטנה מאמא שלה ב32- שנים בעוד כמה שנים יהיה גלה שלה מאיה קטן פי 2 מגיל אמא שלה. בת כמה מאיה כיום?,0
קבוצה של 45 אנשים שכרה אוטובוס לטיול. מחיר השכירות התחלק שווה בשווה בין כל האנשים. יומיים לפני הטיול הצטרפו לקבוצה עוד 5 אנשים ולכן כל משתתף שילם 5,0
בכיתה ט' בבית הספר כל התלמידים מתנדבים לעזור במקומות שונים. להלן תרשים עמודות המתאר את מספר המתנדבים במקומות שונים של שכבה 12,1
"נתון מלבן שאורך צלע אחת גדול פי 3 מאורך הצלע השנייה. אם נגדיל נאריך את אורך הצלע הארוכה ב 2- ס""מ ונקצר את אורך הצלע הקצרה ב 2- ס""מ נקבל מלבן ששטחו קטן פי 1",1
"נתון משולש שווה צלעות ומלבן. הצלע הארוכה של המלבן גדולה ב-3 ס""מ מצלע המשולש, והצלע הסמוכה לו קטנה ב-4 ס""מ מצלע המשולש. אם היקפי המשולש והמלבן המוצגים שווים. מצא את הצלע של המשולש.",1
"נתון מלבן, שסכום אורכי הצלעות הסמוכות בו הוא 12 ס''מ. חשבו את ממדיו של המלבן, אם נתון ששטחו 20 סמ''ר.",1
מסלול של 60 מטר לתפוס שטח גדול,1
מצא את שני המספרים,0
"ענו על הסעיפים הבאים א. תמרה נסע 150 ק""מ במהירות קבועה של 60 קמ""ש. כמה זמן נסע תמרה? ב. אדם נסע 4 שעות במהירות של 80 קמ""ש, מה המרחק שעבר? ג. בן נסע במהירות 30 קמ""ש במשך 40 דקות, מה המרחק שעבר?",0
ירין בת 9 אחות גדולה ממנה. בעוד כמה שנים יהיה גיל אחותה פי 3- מגילה של ירין?,0
על מגרש בגודל של 60 מטר על 120 מטר רצו להקים מגרש כדורגל בצורת מלבנית ומסלול ברוחב x משני צידי המגרש. שטח המגרש הוא 25/33 ממשטח ההחלקה. מצא את רוחב השביל,1
האם בת 35 ובנה בן,0
"לאסף חנות בגדים, יום אחד עשה הזמנה של מספר חולצות בעלות כוללת של 5,000 שקלים, 5 מהחולצות הגיעו פגומות ולכן מכר אותן בהפסד של 10% ממחיר הקנייה את שאר החולצות שיווק ברווח של 10% עבור כל חולצה, מהעסקה הרוויח בסה""כ ₪970 בכמה רכש אסף כל חולצה?",1
"אם יש לנו מלבן, צלע אחת ארוכה מהצד השני ב-4 ס""מ. אם מגדילים את הצלע הקצרה ב-25%, מתקבל ריבוע. מהו שטח המלבן?",1
עלות המכנסיים היא 25 שקלים יותר ממחיר החולצה. דבורה קנה 3 מכנסיים ו-5 חולצות ושילם 475 שקלים. כמה נכנס אדם?,0
מצאו את שני המספרים,0
"ק""מ בדרך כלל במשך 15 דקות. פעם אחת אחרי שהלך במהירות הרגילה במשך זמן מה, התעכב למשך 4 דקות ואז הגדיל את מהירותו ב- 20 מטרים לדקה ובכל זאת איחר לבית הספר ב- 3 דקות. א. מה מספר דקות הלך רביד באותו היום עד שהתעכב ? ב. איזה מרחק עבר עד לעיכוב?",1
"-18 לפי הנתונים, רונאלדו ומסי כבשו יחד 60 שערים בליגה הספרדית. רונאלדו כבש 57 שערים בליגת האלופות",0
"נתון משולש ישר זווית שאורך היתר שלו הוא 610√ ס""מ. נתון שאורך ניצב אחד של המשולש היא a ס""מ ואורך הצלע השנייה הוא 5 − ��2 ס""מ מצאו שטחו של המשולש.",1
ספרים בעברית והיתר ספרים באנגלית. מוציאים באקראי ספר אחד מהספריה. מה ההסתברות שהספר יהיה בעברית?,1
"במשולש שווה שוקיים ABC, ששטחו 30 ס""מ, אורך הקטע BD ידוע כ-3 ס""מ. א.מצא את הגובה לבסיס המשולש. עליי. מצא את אורכי השוקיים. שְׁלִישִׁי. חשב את היקף המשולש.",0
אב בן 36 ובנו בן,0
"אמה יצאו ברגל זה לקראת זה משני יישובים המרוחקים זה מזה 30 ק""מ. הם נפגשו כעבור 4 שעות. למחרת, אריאל יצא 5 שעות אחרי גורי, והם נפגשו שעתיים לאחר צאתו של אריאל. מהי מהירות ההליכה של אמה?",0
"עבור 2 ק""ג תפוחים ו- 5 ק""ג אגסים שילמו 59 שקלים. אם מחיר ק""ג תפוחים יעלה ב- ,10% ומחיר ק""ג אגסים יעלה ב- ,20% ישלמו עבור אותה קנייה 69",1
"כרים תכנן לעבור מרחק מסויים במהירות של 6 קמ""ש, לעומתו תכנן גל לעבור מרחק הגדול פי שתיים במהירות של 4 ק""מ, נתון כי שהזמן שלקח רבקה לסיים את הדרך שתכנן קטן ב- 200 דקות מהזמן שלקח לגל לסיים את המרחק שתכנן לעבור. מצאו את סכום המרחקים שעברו כרים וגל.",1
"חשבו את מרחק הבלימה המתאים למכונית שמהירותה 90 קמ""ש. ב. אם הנהג רוצה להבטיח לעצמו שמרחק הבלימה יהיה 19",1
"לכבוד יום הולדתו של עידו החליטו חבריו לערוך לו מסיבה, שעלותה הייתה 3,240 שקלים. ביום המסיבה הגיעו שלושה חברים נוספים, ולכן כעת נדרשו החברים לחשב מחדש את דמי ההשתתפות של כל חבר. לאחר החישוב, התברר שכעת כל חבר צריך לשלם 25% פחות ממה שכבר שילם. כמה חברים היו במסיבתו של עידו? 2",1
"גרם שקדים עולה 2 שקלים יותר מ100- גרם קשיו והוא יותר זול מעלות של 100 גרם פקאן ב2-שקלים. אמי קנתה 300 גרם שקדים, 200 גרם קשיו ו100- גרם פקאן ושילמה 38 שקלים מה המחיר של 100 גרם שקדים?",0
"ענו על הסעיפים הבאים א. נתון שעברתי 180 ק""מ ב3- שעות, מה המהירות בה נסעתי (מהירות קבועה)? ב. נתון שאלון רץ במהירות קבועה 12 ק""מ ב-שעתיים, מה היה גודל המהירות שרץ אלון ג. נתון שדני הולך 900 מטר ב10- דקות במהירות קבועה, מה מהירותו של דני? ד. רומי הולכת 2 ק""מ ב20- דקות, מהירותה הייתה קבו עה, מה המהירות בה הלכה?",0
"יש בכיתה x תלמידים, יום אחד הגיעו רבע מהתלמידים, ביום למחרת הגיעו 3 תלמידים פחות מהיום הקודם. כמה תלמידים בכיתה אם נתון כי שהגיעו מחצית מתלמידי הכיתה?",0
"אסף הלך לחנות בגדים. יום אחד הוא ביצע הזמנה של מספר חולצות בשווי כולל של 5,000 שקלים. 5 מהם הגיעו פגומים ולכן מכר אותם בהפסד של 10% ממחיר הרכישה. את שאר החולצות הוא מכר ברווח של 10% על כל חולצה, והרוויח 970 שקל מהעסקה. כמה קנה אסף כל חולצה?",1
"נתון שענבר נוסעת כל יום ממודיעין לת""א ב8:00- במהירות קבועה. אם הייתה יוצאת ב10:00- אז התה מקצרת את זמן הנסיעה ב8- דקות ומהירותה הייתה גדלה ב10- קמ""ש. אם הייתה יוצאת ב11:00- אז התה מקצרת את זמן הנסיעה ב 18- דקות ומהירותה הייתה גדלה ב30- קמ""ש. מה המרחק בין תל אביב למודיעין",0
"ס""מ.",1
תעודת תיכון - 5 יחידות - שאלון 581 המרחק מבית נעמה לבית הספר הוא 500 מטר. נעמה יצאה מביתה לבית הספר והלכה במהירות קבועה,1
"לינואי ותה ביחד עולים 320 שקלים, ללינואי יש x שקלים א. כתבו ביטוי אלגברי לכמות הכסף שיש לתה ב'. המספר של יום שלישי הוא 80 שקלים יותר. כמה כסף יש ללינוי?",0
- שעות. מה משך הזמן נסיעתה מעיר א' לעיר ב' ? מה המרחק בין א' לעיר ב' ?,0
תהל. עילאי,0
"כשרון נולד, גיל אביו היה 25. כמה שנים היה גיל אביו, פי 6 מגילו של רון?",0
"אם אורך המלבן גדול מרוחבו ב-4 ס""מ. הגדילו את אורכו ב-3 ס""מ והקטינו את רוחבו ב-10% כך שתקבל מלבן ששטחו גדול ב-12 ס""מ רבוע מהמלבן המקורי. א. מצא את אורכי הצלעות של המלבן המקורי (צד אחד של המלבן קטן מ-15 ס""מ). עֲבוּר. מה היחס בין שטח המלבן הגדול לשטח המלבן הקטן?",1
"טוהר השיג כמה כיסויים לאייפון ב-10 שקלים כל אחד. בסך הכל שילם טוהר 4,500 שקל עבור הכיסוי. אחר כך מכר טוהר את כל הכיסויים שקנה: 10 כיסויים הוא שיווק בהפסד של 5% לכריכה, ואת שאר הכיסויים הוא שיווק ברווח של 30% לכיסוי. הסכום הכולל שהרוויח טוהר ממכירת העטיפות עמד על 720 שקלים. מצא את x.",1
גיל האב הוא פי 4 מגיל בנו. בעוד 20 שנים יהיה גיל האב רק פי 2 מגיל בנו. בני כמה האב והבן היום?,0
"מלבן שאורכו ארוך ב-5 ס""מ מאורך הצלע השנייה. צור מלבן חדש ממלבן זה עם צלעות פי שניים מאורך הצלעות של המלבן המקורי. א. כתוב את אורכי הצלעות הסמוכות לצלעי המלבן המקורי באמצעות משתנה. עֲבוּר. צייר מלבן נוסף וכתוב לצד שתי צלעותיו את אורכי צלעותיו לאחר השינוי. אורך המלבן החדש 48 ס""מ. מצא את אורכי הצלעות של המלבן המקורי",1
"ק""מ ואילו רועי רץ 5 ק""מ. ידוע שמהירות רוי גדולה מ-0",1
"יש פי שניים יותר בנים מבנות במסיבה. אם יתווספו למסיבה 10 בנים, ויעזבו 5 בנות, מספר הבנים יהיה גדול פי 4 ממספר הבנות. כמה ילדים היו במסיבה?",0
משקל בקבוק עם פקק הוא 110 גרמים. משקל הבקבוק גדול ב 100 גרמים ממשקל הפקק. מהו משקל הבקבוק? מהו משקל הפקק? 5,0
v :הבאה לתבנית 2 . + 0,1
"נתנו קופסה. אם נגדיל את שתי הצלעות הנגדיות ב-15%, נקבל מלבן שהיקפו גדול ב-6 ס""מ מהיקף הריבוע. מה אורך הצלע של הריבוע? מהו שטח הכיכר? מהו שטח המלבן המורחב?",0
"בידיעה שאורך הקטע RN בשרטוט גדול מהקטע PM M R N P ב-2 ס""מ ומקטע PR ב-4 ס""מ. א. חשב את אורך הקטע MR, בהינתן שאורך MN הוא 65√ ס""מ. עֲבוּר. חשב את שטח המשולש ΔPMN",1
v :הבאה לתבנית 2 . + 0,1
"שלומי עובר 150 קילומטרים ביום במהירות קבועה. יום אחד הוא עצר ל-15 דקות באמצע הכביש ולאחר מכן המשיך בדרכו במהירות גבוהה של 15 קמ""ש על מנת להגיע בדיוק בזמן. מהי המהירות הקבועה בה נע שלומי?",1
